	x	sin^2(x)*cos^2(x)	atvas
      2.23	      1.13	      1.04
      2.24	      1.12	      1.04
      2.25	      1.11	      1.04
      2.26	      1.10	      1.04
      2.27	      1.09	      1.04
      2.28	      1.08	      1.04
      2.29	      1.07	      1.04
      2.30	      1.06	      1.04
      2.31	      1.05	      1.04
      2.32	      1.04	      1.03
      2.33	      1.03	      1.03
      2.34	      1.02	      1.03
      2.35	      1.01	      1.02
      2.36	      1.00	      1.02
      2.37	      0.99	      1.01
      2.38	      0.98	      1.01
      2.39	      0.97	      1.00
      2.40	      0.96	      0.99
      2.41	      0.95	      0.99
      2.42	      0.94	      0.98
      2.43	      0.93	      0.97
      2.44	      0.92	      0.96
      2.45	      0.91	      0.95
      2.46	      0.90	      0.94
      2.47	      0.89	      0.93
      2.48	      0.89	      0.92
      2.49	      0.88	      0.91
      2.50	      0.87	      0.90
      2.51	      0.86	      0.89
      2.52	      0.85	      0.88
      2.53	      0.84	      0.87
      2.54	      0.84	      0.85
      2.55	      0.83	      0.84
      2.56	      0.82	      0.83
      2.57	      0.81	      0.82
      2.58	      0.80	      0.80
      2.59	      0.80	      0.79
      2.60	      0.79	      0.78
      2.61	      0.78	      0.76
      2.62	      0.77	      0.75
      2.63	      0.77	      0.73
      2.64	      0.76	      0.72
      2.65	      0.75	      0.70
      2.66	      0.75	      0.69
      2.67	      0.74	      0.67
      2.68	      0.73	      0.66
      2.69	      0.73	      0.64
      2.70	      0.72	      0.63
      2.71	      0.71	      0.61
      2.72	      0.71	      0.59
      2.73	      0.70	      0.58
      2.74	      0.69	      0.56
      2.75	      0.69	      0.55
      2.76	      0.68	      0.53
      2.77	      0.67	      0.52
      2.78	      0.67	      0.50
      2.79	      0.66	      0.48
      2.80	      0.66	      0.47
      2.81	      0.65	      0.45
      2.82	      0.64	      0.44
      2.83	      0.64	      0.42
      2.84	      0.63	      0.40
      2.85	      0.63	      0.39
      2.86	      0.62	      0.37
      2.87	      0.62	      0.36
      2.88	      0.61	      0.34
      2.89	      0.61	      0.33
      2.90	      0.60	      0.31
      2.91	      0.60	      0.30
      2.92	      0.59	      0.28
      2.93	      0.59	      0.27
      2.94	      0.58	      0.25
      2.95	      0.58	      0.24
      2.96	      0.57	      0.22
      2.97	      0.57	      0.21
      2.98	      0.56	      0.19
      2.99	      0.56	      0.18
      3.00	      0.56	      0.17
      3.01	      0.55	      0.15
      3.02	      0.55	      0.14
      3.03	      0.54	      0.13
      3.04	      0.54	      0.12
      3.05	      0.53	      0.10
      3.06	      0.53	      0.09
      3.07	      0.53	      0.08
      3.08	      0.52	      0.07
      3.09	      0.52	      0.06
      3.10	      0.51	      0.04
      3.11	      0.51	      0.03
      3.12	      0.51	      0.02
      3.13	      0.50	      0.01
      3.14	      0.50	      0.00
      3.15	      0.50	     -0.01
      3.16	      0.49	     -0.02
      3.17	      0.49	     -0.03
      3.18	      0.49	     -0.04
      3.19	      0.48	     -0.05
      3.20	      0.48	     -0.05
      3.21	      0.48	     -0.06
      3.22	      0.47	     -0.07
      3.23	      0.47	     -0.08
      3.24	      0.47	     -0.08
      3.25	      0.47	     -0.09
      3.26	      0.46	     -0.10
      3.27	      0.46	     -0.10
      3.28	      0.46	     -0.11
      3.29	      0.45	     -0.12
      3.30	      0.45	     -0.12
      3.31	      0.45	     -0.13
      3.32	      0.45	     -0.13
      3.33	      0.44	     -0.14
      3.34	      0.44	     -0.14
      3.35	      0.44	     -0.15
      3.36	      0.44	     -0.15
      3.37	      0.44	     -0.15
      3.38	      0.43	     -0.16
      3.39	      0.43	     -0.16
      3.40	      0.43	     -0.16
      3.41	      0.43	     -0.16
      3.42	      0.42	     -0.17
      3.43	      0.42	     -0.17
      3.44	      0.42	     -0.17
      3.45	      0.42	     -0.17
      3.46	      0.42	     -0.17
      3.47	      0.41	     -0.17
      3.48	      0.41	     -0.17
      3.49	      0.41	     -0.17
      3.50	      0.41	     -0.17
      3.51	      0.41	     -0.17
      3.52	      0.41	     -0.17
      3.53	      0.40	     -0.17
      3.54	      0.40	     -0.17
      3.55	      0.40	     -0.17
      3.56	      0.40	     -0.17
      3.57	      0.40	     -0.16
      3.58	      0.40	     -0.16
      3.59	      0.40	     -0.16
      3.60	      0.40	     -0.16
      3.61	      0.39	     -0.16
      3.62	      0.39	     -0.15
      3.63	      0.39	     -0.15
      3.64	      0.39	     -0.15
      3.65	      0.39	     -0.14
      3.66	      0.39	     -0.14
      3.67	      0.39	     -0.14
      3.68	      0.39	     -0.13
      3.69	      0.39	     -0.13
      3.70	      0.38	     -0.12
      3.71	      0.38	     -0.12
      3.72	      0.38	     -0.11
      3.73	      0.38	     -0.11
      3.74	      0.38	     -0.10
      3.75	      0.38	     -0.10
      3.76	      0.38	     -0.10
      3.77	      0.38	     -0.09
      3.78	      0.38	     -0.08
      3.79	      0.38	     -0.08
      3.80	      0.38	     -0.07
      3.81	      0.38	     -0.07
      3.82	      0.38	     -0.06
      3.83	      0.38	     -0.06
      3.84	      0.38	     -0.05
      3.85	      0.38	     -0.05
      3.86	      0.38	     -0.04
      3.87	      0.38	     -0.03
      3.88	      0.38	     -0.03
      3.89	      0.38	     -0.02
      3.90	      0.38	     -0.02
      3.91	      0.38	     -0.01
      3.92	      0.38	     -0.00
      3.93	      0.38	      0.00
      3.94	      0.38	      0.01
      3.95	      0.38	      0.01
      3.96	      0.38	      0.02
      3.97	      0.38	      0.03
      3.98	      0.38	      0.03
      3.99	      0.38	      0.04
      4.00	      0.38	      0.04
      4.01	      0.38	      0.05
      4.02	      0.38	      0.05
      4.03	      0.38	      0.06
      4.04	      0.38	      0.07
      4.05	      0.38	      0.07
      4.06	      0.38	      0.08
      4.07	      0.38	      0.08
      4.08	      0.38	      0.09
      4.09	      0.38	      0.09
      4.10	      0.38	      0.10
      4.11	      0.38	      0.10
      4.12	      0.38	      0.11
      4.13	      0.38	      0.11
      4.14	      0.38	      0.12
      4.15	      0.38	      0.12
      4.16	      0.39	      0.13
      4.17	      0.39	      0.13
      4.18	      0.39	      0.13
      4.19	      0.39	      0.14
      4.20	      0.39	      0.14
      4.21	      0.39	      0.14
      4.22	      0.39	      0.15
      4.23	      0.39	      0.15
      4.24	      0.39	      0.15
      4.25	      0.39	      0.16
      4.26	      0.40	      0.16
      4.27	      0.40	      0.16
      4.28	      0.40	      0.16
      4.29	      0.40	      0.17
      4.30	      0.40	      0.17
      4.31	      0.40	      0.17
      4.32	      0.40	      0.17
      4.33	      0.41	      0.17
      4.34	      0.41	      0.17
      4.35	      0.41	      0.17
      4.36	      0.41	      0.17
      4.37	      0.41	      0.17
      4.38	      0.41	      0.17
      4.39	      0.42	      0.17
      4.40	      0.42	      0.17
      4.41	      0.42	      0.17
      4.42	      0.42	      0.17
      4.43	      0.42	      0.17
      4.44	      0.43	      0.16
      4.45	      0.43	      0.16
      4.46	      0.43	      0.16
      4.47	      0.43	      0.16
      4.48	      0.43	      0.15
      4.49	      0.44	      0.15
      4.50	      0.44	      0.15
      4.51	      0.44	      0.14
      4.52	      0.44	      0.14
      4.53	      0.45	      0.13
      4.54	      0.45	      0.13
      4.55	      0.45	      0.12
      4.56	      0.45	      0.12
      4.57	      0.46	      0.11
      4.58	      0.46	      0.11
      4.59	      0.46	      0.10
      4.60	      0.46	      0.09
      4.61	      0.47	      0.09
      4.62	      0.47	      0.08
      4.63	      0.47	      0.07
      4.64	      0.48	      0.06
      4.65	      0.48	      0.06
      4.66	      0.48	      0.05
      4.67	      0.49	      0.04
      4.68	      0.49	      0.03
      4.69	      0.49	      0.02
      4.70	      0.50	      0.01
      4.71	      0.50	      0.00
      4.72	      0.50	     -0.01
      4.73	      0.51	     -0.02
      4.74	      0.51	     -0.03
      4.75	      0.51	     -0.04
      4.76	      0.52	     -0.05
      4.77	      0.52	     -0.06
      4.78	      0.52	     -0.07
      4.79	      0.53	     -0.09
      4.80	      0.53	     -0.10
      4.81	      0.54	     -0.11
      4.82	      0.54	     -0.12
      4.83	      0.54	     -0.14
      4.84	      0.55	     -0.15
      4.85	      0.55	     -0.16
      4.86	      0.56	     -0.18
      4.87	      0.56	     -0.19
      4.88	      0.57	     -0.20
      4.89	      0.57	     -0.22
      4.90	      0.58	     -0.23
      4.91	      0.58	     -0.25
      4.92	      0.59	     -0.26
      4.93	      0.59	     -0.28
      4.94	      0.60	     -0.29
      4.95	      0.60	     -0.31
      4.96	      0.61	     -0.32
      4.97	      0.61	     -0.34
      4.98	      0.62	     -0.35
      4.99	      0.62	     -0.37
      5.00	      0.63	     -0.38
      5.01	      0.63	     -0.40
      5.02	      0.64	     -0.41
      5.03	      0.64	     -0.43
      5.04	      0.65	     -0.45
      5.05	      0.65	     -0.46
      5.06	      0.66	     -0.48
      5.07	      0.67	     -0.49
      5.08	      0.67	     -0.51
      5.09	      0.68	     -0.53
      5.10	      0.68	     -0.54
      5.11	      0.69	     -0.56
      5.12	      0.70	     -0.57
      5.13	      0.70	     -0.59
      5.14	      0.71	     -0.60
      5.15	      0.72	     -0.62
      5.16	      0.72	     -0.64
      5.17	      0.73	     -0.65
      5.18	      0.74	     -0.67
      5.19	      0.74	     -0.68
      5.20	      0.75	     -0.70
      5.21	      0.76	     -0.71
      5.22	      0.76	     -0.73
      5.23	      0.77	     -0.74
      5.24	      0.78	     -0.76
      5.25	      0.79	     -0.77
      5.26	      0.79	     -0.78
      5.27	      0.80	     -0.80
      5.28	      0.81	     -0.81
      5.29	      0.82	     -0.82
      5.30	      0.82	     -0.84
      5.31	      0.83	     -0.85
      5.32	      0.84	     -0.86
      5.33	      0.85	     -0.87
      5.34	      0.86	     -0.89
      5.35	      0.87	     -0.90
      5.36	      0.87	     -0.91
      5.37	      0.88	     -0.92
      5.38	      0.89	     -0.93
      5.39	      0.90	     -0.94
      5.40	      0.91	     -0.95
      5.41	      0.92	     -0.96
      5.42	      0.93	     -0.97
      5.43	      0.94	     -0.98
      5.44	      0.94	     -0.98
      5.45	      0.95	     -0.99
      5.46	      0.96	     -1.00
      5.47	      0.97	     -1.00
      5.48	      0.98	     -1.01
      5.49	      0.99	     -1.02
      5.50	      1.00	     -1.02
      5.51	      1.01	     -1.03
      5.52	      1.02	     -1.03
      5.53	      1.03	     -1.03
      5.54	      1.04	     -1.04
      5.55	      1.05	     -1.04
      5.56	      1.06	     -1.04
      5.57	      1.07	     -1.04
      5.58	      1.08	     -1.04
      5.59	      1.09	     -1.04
      5.60	      1.11	     -1.04
      5.61	      1.12	     -1.04
      5.62	      1.13	     -1.04
      5.63	      1.14	     -1.04
      5.64	      1.15	     -1.04
      5.65	      1.16	     -1.04
      5.66	      1.17	     -1.03
      5.67	      1.18	     -1.03
      5.68	      1.19	     -1.02
      5.69	      1.21	     -1.02
      5.70	      1.22	     -1.01
      5.71	      1.23	     -1.01
      5.72	      1.24	     -1.00
      5.73	      1.25	     -0.99
      5.74	      1.27	     -0.98
      5.75	      1.28	     -0.97
      5.76	      1.29	     -0.97
      5.77	      1.30	     -0.96
      5.78	      1.31	     -0.95
      5.79	      1.33	     -0.94
      5.80	      1.34	     -0.92
      5.81	      1.35	     -0.91
      5.82	      1.36	     -0.90
      5.83	      1.38	     -0.89
      5.84	      1.39	     -0.87
      5.85	      1.40	     -0.86
      5.86	      1.42	     -0.85
      5.87	      1.43	     -0.83
      5.88	      1.44	     -0.82
      5.89	      1.45	     -0.80
      5.90	      1.47	     -0.78
      5.91	      1.48	     -0.77
      5.92	      1.49	     -0.75
      5.93	      1.51	     -0.73
      5.94	      1.52	     -0.72
      5.95	      1.53	     -0.70
      5.96	      1.55	     -0.68
      5.97	      1.56	     -0.66
      5.98	      1.58	     -0.64
      5.99	      1.59	     -0.62
      6.00	      1.60	     -0.60
      6.01	      1.62	     -0.58
      6.02	      1.63	     -0.56
      6.03	      1.64	     -0.54
      6.04	      1.66	     -0.52
      6.05	      1.67	     -0.50
      6.06	      1.69	     -0.48
      6.07	      1.70	     -0.46
      6.08	      1.71	     -0.44
      6.09	      1.73	     -0.41
      6.10	      1.74	     -0.39
      6.11	      1.76	     -0.37
      6.12	      1.77	     -0.35
      6.13	      1.78	     -0.33
      6.14	      1.80	     -0.30
      6.15	      1.81	     -0.28
      6.16	      1.83	     -0.26
      6.17	      1.84	     -0.24
      6.18	      1.86	     -0.22
      6.19	      1.87	     -0.20
      6.20	      1.88	     -0.17
      6.21	      1.90	     -0.15
      6.22	      1.91	     -0.13
      6.23	      1.93	     -0.11
      6.24	      1.94	     -0.09
      6.25	      1.95	     -0.07
      6.26	      1.97	     -0.05
      6.27	      1.98	     -0.03
      6.28	      2.00	     -0.01
